username,rating,time,votes,comment,情感标签,情感置信度,文本语言,分析状态
lefovm,5,2024-11-08 13:29:21,82,居然是豆瓣上第一个短评，院线版新增的一个彩蛋很惊喜，选择了纽约的街景不知道和谏山创的Anime NYC之行有没有关系。在这个残酷美丽的世界，谢谢你为我围上围巾🧣｜ＴＯＨＯシネマズ新宿,positive,0.8765,zh,成功
🔒NANIMONO🔒,3,2025-03-01 18:21:02,4,#MCL德福#没有美高的部分会更好，如果只看原版还能因为谏山创笨拙的把自己和艾伦代入而略有理解，美高的部分就是仿照当下影视作品meta化来让观众纯一笑而过，但这还想再挽尊一般的做法只会把结局这段心路历程更祛魅,negative,0.8765,zh,成功
zhong可乐,5,2024-11-08 23:07:01,50,立刻献出心脏了，巨人是唯一一部不管怎么重编重剪炒冷饭我都可以充满期待看无数遍的作品，大家一定都在另一个时空好好的生活吧。,positive,0.9876,zh,成功
南宫非攻,3,2025-01-05 17:01:12,12,艾伦地鸣之后的总集篇，原本合集就一律三星，更别提这还是脑残叛变小分队去诛杀艾伦的合集，不扣星就已经很不错了。,negative,0.8543,zh,成功
伊利丹,5,2024-11-09 14:29:30,60,看完以后，觉得应该从头开始再剪一遍。,negative,0.7236,zh,成功
Drifter,5,2025-01-18 18:11:57,23,韓吉對著阿尼喊「下次見」時立刻忍不住淚崩了⋯⋯三刷，這是首處牽動我淚腺的細節。｜寫了數次：進巨最高光的一點就是能摒棄宏大的概念，回歸人類心底最柔軟的惻隱，你也可以說那叫做「人道主義」，但我覺得「主義」這個詞依然寬泛，我覺得人類只需去不斷發現並單純地承認：我們具備更細小卻有力的感情。面對「既然終究會死那麼努力求生又有何意義」這樣無懈可擊的邏輯，放棄辯解自證與形容，只是讓Armin做出了最原始的反應——有多少人於是隨之想起自己的那片葉子、那顆棒球，想起故意輸掉的比賽和無論如何也玩不夠的心愛遊戲？那麼Mikasa究竟是為什麼能親手斬下自己保護了一輩子的人的頭，也就不言而喻。｜全程和大家一起又哭又笑。沒想到School Caste會作為彩蛋在完結篇釋出，雖是很傻的情懷砲彈，但粉又怎能不願被轟炸呢。,positive,0.9876,zh,成功
一只充眠宝,5,2025-01-21 14:13:47,10,捧着香港首场特典就开始哭，从韩吉哭到吼猴，终于也在大荧幕上看到今天天气真好了。喜欢片尾彩蛋，ema你们三个把日子一起过好比什么都强别单拆你那异性恋和竹马了。看到清洁工李伟扫影院还是又哭了。,positive,0.9568,zh,成功
Doublebitch,5,2024-12-15 11:12:59,29,他割任他割 反正韭菜多,negative,0.8765,zh,成功
画戟,5,2025-06-09 16:30:31,1,我也很喜欢浪漫。 但我更喜欢安安静静，踏踏实实的生活。,positive,0.8543,zh,成功
Panda的影音,5,2025-03-25 23:05:14,16,彩蛋台配版 …… -米卡莎：我覺得是部很棒的作品。雖然真的是一個相當漫長的故事，但伏筆都有確實的回收，和登場的角色們也都有好好道別了。 -阿爾敏：是喔。這是因為米卡莎妳都沒有在看討論區吧？……謎團根本都沒解開啊！該怎麼說？太符合觀眾的預測了。一般來說會從正面意義上給出一些超乎觀眾預料的東西吧？ -米卡莎：是因為…有可能是作者故意不把劇情說死，這樣才能讓觀眾留下想象空間；也可能是刻意收得簡潔明瞭，比方說偶爾也是有人身上帶著缺點反而更容易讓人親近他啊！你不能否認吧？ -阿爾敏：開什麼玩笑？這種解釋怎麼可能消解我滿肚子的疑問跟不滿，我可是等這個結局等了好久了，為了這一天等了整整十年。不然艾連你是怎麼評價的？ …… -艾連：我覺得…能跟你們一起看電影我覺得很開心。如果之後還有續集的話 再約一約，一起去看吧！ ……,neutral,0.6543,zh,成功
