评论ID,国家,原始评论,分词后评论
94aec6669c464012,中国,居然是豆瓣上第一个短评，院线版新增的一个彩蛋很惊喜，选择了纽约的街景不知道和谏山创的Anime NYC之行有没有关系。在这个残酷美丽的世界，谢谢你为我围上围巾??｜ＴＯＨＯシネマズ新宿,居然 是 豆瓣 上 第一个 短评 ， 院线 版 新增 的 一个 彩蛋 很 惊喜 ， 选择 了 纽约 的 街景 不 知道 和 谏 山创 的 Anime   NYC 之行 有没有 关系 。 在 这个 残酷 美丽 的 世界 ， 谢谢 你 为 我围 上 围巾 ?? ｜ Ｔ Ｏ Ｈ Ｏ シ ネ マ ズ 新宿
a36db2acd16247a7,中国,看完以后，觉得应该从头开始再剪一遍。,看 完 以后 ， 觉得 应该 从头开始 再剪 一遍 。
d69937498e5c4550,中国,#MCL德福#没有美高的部分会更好，如果只看原版还能因为谏山创笨拙的把自己和艾伦代入而略有理解，美高的部分就是仿照当下影视作品meta化来让观众纯一笑而过，但这还想再挽尊一般的做法只会把结局这段心路历程更祛魅,# MCL 德福 # 没有 美高 的 部分 会 更好 ， 如果 只 看 原版 还 能 因为 谏 山创 笨拙 的 把 自己 和 艾伦 代入 而 略有 理解 ， 美高 的 部分 就是 仿照 当下 影视作品 meta 化来 让 观众 纯 一笑而过 ， 但 这 还 想 再 挽尊 一般 的 做法 只会 把 结局 这 段 心路历程 更 祛 魅
d51a17e0b7e84ee5,中国,艾伦地鸣之后的总集篇，原本合集就一律三星，更别提这还是脑残叛变小分队去诛杀艾伦的合集，不扣星就已经很不错了。,艾伦 地鸣 之后 的 总集 篇 ， 原本 合集 就 一律 三星 ， 更 别提 这 还是 脑残 叛变 小分队 去 诛杀 艾伦 的 合集 ， 不 扣星 就 已经 很 不错 了 。
c28fb99ad66e43be,中国,周围一圈九宫格哭的稀里哗啦的，个人因为看太多遍了已经毫无波澜了，但是能在电影院看巨人，也是完成了人生愿望清单的又一项。,周围 一圈 九宫格 哭 的 稀里哗啦 的 ， 个人 因为 看太 多遍 了 已经 毫无 波澜 了 ， 但是 能 在 电影院 看 巨人 ， 也 是 完成 了 人生 愿望 清单 的 又 一项 。
1bf175177b1e460f,中国,立刻献出心脏了，巨人是唯一一部不管怎么重编重剪炒冷饭我都可以充满期待看无数遍的作品，大家一定都在另一个时空好好的生活吧。,立刻 献出 心脏 了 ， 巨人 是 唯一 一部 不管怎么 重编重 剪 炒冷饭 我 都 可以 充满 期待 看 无数遍 的 作品 ， 大家 一定 都 在 另 一个 时空 好好 的 生活 吧 。
544fe9b1dc474d1a,中国,【涉及剧透】色纸拿到阿尔敏（另外两个人谏山创画的不好看）才看到第五季开头的时候这个突然上了，而且好像只上三周所以就先去看了。感觉可以丝滑地切进去剧情，说实话这个电影只是第六季的总集篇。哭得我特别头晕，从头哭到尾的感觉。看到噶比的时候我觉得我原谅了她，看到她端枪的姿势会幻视萨沙，所以这是一个特别残忍的设定，让萨沙死在另一位年幼的狙击手的手里。这就像是在说仇恨的代际相传所要付出的代价，以及用你最信赖的射击夺走了那么多生命的你最后要面临的因果报应一般。在前面所有剧情的缝隙里填入三笠爱着艾伦的证明，只是想着要去杀你就会流泪的，但是最后的最后也只有她可以去杀你，抱住他的头颅亲吻就像某种宿命意味太重的哥特式爱情。结果在彩蛋的转世里面三笠真的是那种会玩亚文化的哥特阴暗女要命啊。。,【 涉及 剧透 】 色纸 拿到 阿尔敏 （ 另外 两个 人谏山 创画 的 不 好看 ） 才 看到 第五 季 开头 的 时候 这个 突然 上 了 ， 而且 好像 只上 三周 所以 就 先 去 看 了 。 感觉 可以 丝滑 地 切进去 剧情 ， 说实话 这个 电影 只是 第六 季 的 总集 篇 。 哭 得 我 特别 头晕 ， 从头 哭 到 尾 的 感觉 。 看到 噶比 的 时候 我 觉得 我 原谅 了 她 ， 看到 她 端 枪 的 姿势 会 幻视 萨沙 ， 所以 这是 一个 特别 残忍 的 设定 ， 让 萨沙死 在 另 一位 年幼 的 狙击手 的 手里 。 这 就 像是 在 说 仇恨 的 代际 相传 所 要 付出 的 代价 ， 以及 用 你 最 信赖 的 射击 夺走 了 那么 多 生命 的 你 最后 要 面临 的 因果报应 一般 。 在 前面 所有 剧情 的 缝隙 里 填入 三笠 爱 着 艾伦 的 证明 ， 只是 想着 要 去 杀 你 就 会 流泪 的 ， 但是 最后 的 最后 也 只有 她 可以 去 杀 你 ， 抱住 他 的 头颅 亲吻 就 像 某种 宿命 意味 太重 的 哥特式 爱情 。 结果 在 彩蛋 的 转世 里面 三笠 真的 是 那种 会 玩 亚文化 的 哥特 阴暗 女 要命 啊 。 。
182f0bb761384c38,中国,彩蛋台配版 …… -米卡莎：我覺得是部很棒的作品。雖然真的是一個相當漫長的故事，但伏筆都有確實的回收，和登場的角色們也都有好好道別了。 -阿爾敏：是喔。這是因為米卡莎妳都沒有在看討論區吧？……謎團根本都沒解開啊！該怎麼說？太符合觀眾的預測了。一般來說會從正面意義上給出一些超乎觀眾預料的東西吧？ -米卡莎：是因為…有可能是作者故意不把劇情說死，這樣才能讓觀眾留下想象空間；也可能是刻意收得簡潔明瞭，比方說偶爾也是有人身上帶著缺點反而更容易讓人親近他啊！你不能否認吧？ -阿爾敏：開什麼玩笑？這種解釋怎麼可能消解我滿肚子的疑問跟不滿，我可是等這個結局等了好久了，為了這一天等了整整十年。不然艾連你是怎麼評價的？ …… -艾連：我覺得…能跟你們一起看電影我覺得很開心。如果之後還有續集的話 再約一約，一起去看吧！ ……,彩蛋 台配 版   … …   - 米卡 莎 ： 我覺 得 是 部 很棒 的 作品 。 雖然 真的 是 一個 相當 漫長 的 故事 ， 但伏筆 都 有 確實 的 回收 ， 和 登場 的 角色 們 也 都 有 好好 道別 了 。   - 阿爾敏 ： 是 喔 。 這是 因為 米卡 莎 妳 都 沒 有 在 看 討論區 吧 ？ … … 謎團 根本 都 沒 解開 啊 ！ 該 怎麼 說 ？ 太 符合 觀眾 的 預測 了 。 一般 來 說 會 從 正面 意義上 給出 一些 超乎 觀眾 預料 的 東西 吧 ？   - 米卡 莎 ： 是 因為 … 有 可能 是 作者 故意 不 把 劇情 說 死 ， 這樣 才能 讓 觀眾 留下 想象 空間 ； 也 可能 是 刻意 收得 簡潔明 瞭 ， 比方 說 偶爾 也 是 有人 身上 帶著 缺點 反而 更 容易 讓 人 親近 他 啊 ！ 你 不 能否 認吧 ？   - 阿爾敏 ： 開什麼 玩笑 ？ 這種 解釋 怎麼 可能 消解 我滿 肚子 的 疑問 跟 不滿 ， 我 可是 等 這個 結局 等 了 好久 了 ， 為 了 這 一天 等 了 整整 十年 。 不然 艾連 你 是 怎麼 評價 的 ？   … …   - 艾連 ： 我覺 得 … 能 跟 你 們 一起 看電影 我 覺得 很 開心 。 如果 之後還 有續 集 的 話   再 約 一約 ， 一起 去 看吧 ！   … …
42f0138122014139,中国,他割任他割 反正韭菜多,他 割任 他 割   反正 韭菜 多
7c05596336f54cae,中国,韓吉對著阿尼喊「下次見」時立刻忍不住淚崩了??三刷，這是首處牽動我淚腺的細節。｜寫了數次：進巨最高光的一點就是能摒棄宏大的概念，回歸人類心底最柔軟的惻隱，你也可以說那叫做「人道主義」，但我覺得「主義」這個詞依然寬泛，我覺得人類只需去不斷發現並單純地承認：我們具備更細小卻有力的感情。面對「既然終究會死那麼努力求生又有何意義」這樣無懈可擊的邏輯，放棄辯解自證與形容，只是讓Armin做出了最原始的反應——有多少人於是隨之想起自己的那片葉子、那顆棒球，想起故意輸掉的比賽和無論如何也玩不夠的心愛遊戲？那麼Mikasa究竟是為什麼能親手斬下自己保護了一輩子的人的頭，也就不言而喻。｜全程和大家一起又哭又笑。沒想到School Caste會作為彩蛋在完結篇釋出，雖是很傻的情懷砲彈，但粉又怎能不願被轟炸呢。,韓吉對 著 阿尼喊 「 下次 見 」 時 立刻 忍不住 淚崩 了 ? ? 三刷 ， 這是 首處 牽動 我 淚腺 的 細節 。 ｜ 寫 了 數次 ： 進巨 最高 光 的 一點 就是 能 摒棄 宏大 的 概念 ， 回歸人類 心底 最柔 軟 的 惻隱 ， 你 也 可以 說 那 叫做 「 人道 主義 」 ， 但 我 覺得 「 主義 」 這個 詞 依然 寬泛 ， 我覺 得 人類 只 需去 不斷 發現 並單 純地 承認 ： 我們 具備 更細 小 卻 有力 的 感情 。 面對 「 既然 終究會 死 那麼 努力 求生 又 有 何意 義 」 這樣 無懈 可擊 的 邏輯 ， 放棄 辯解 自證 與 形容 ， 只是 讓 Armin 做出 了 最 原始 的 反應 — — 有 多少 人 於 是 隨之 想起 自己 的 那片 葉子 、 那顆 棒球 ， 想起 故意 輸掉 的 比賽 和 無論 如何 也 玩 不夠 的 心愛遊戲 ？ 那麼 Mikasa 究竟 是 為 什麼 能 親手 斬 下 自己 保護 了 一輩子 的 人的頭 ， 也 就 不言而喻 。 ｜ 全程 和 大家 一起 又哭又笑 。 沒 想到 School   Caste 會作 為 彩蛋 在 完 結篇釋 出 ， 雖是 很傻 的 情懷 砲 彈 ， 但粉 又 怎能不 願 被 轟炸 呢 。
